X_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
19832,NY,106,Outside City Limits,2016-05
19833,NY,329,Toronto,2016-05
19834,SC,91,Outside City Limits,2016-05
19835,SC,518,Toronto,2016-05
19836,ET,134,Outside City Limits,2016-06
19837,ET,387,Toronto,2016-06
19838,NY,53,Outside City Limits,2016-06
19839,NY,304,Toronto,2016-06
19840,SC,48,Outside City Limits,2016-06
19841,SC,421,Toronto,2016-06
19842,ET,126,Outside City Limits,2016-07
19843,ET,407,Toronto,2016-07
19844,NY,10,Outside City Limits,2016-07
19845,NY,250,Toronto,2016-07
19846,SC,60,Outside City Limits,2016-07
19847,SC,186,Toronto,2016-07
19848,ET,155,Outside City Limits,2016-08
19849,ET,312,Toronto,2016-08
19850,NY,77,Outside City Limits,2016-08
19851,NY,240,Toronto,2016-08
19852,SC,85,Outside City Limits,2016-08
19853,SC,696,Toronto,2016-08
19854,ET,198,Outside City Limits,2016-09
19855,ET,432,Toronto,2016-09
19856,NY,78,Outside City Limits,2016-09
19857,NY,321,Toronto,2016-09
19858,SC,112,Outside City Limits,2016-09
19859,SC,553,Toronto,2016-09
19860,ET,108,Outside City Limits,2016-10
19861,ET,427,Toronto,2016-10
19862,NY,78,Outside City Limits,2016-10
19863,NY,356,Toronto,2016-10
19864,SC,93,Outside City Limits,2016-10
19865,SC,478,Toronto,2016-10
19866,ET,124,Outside City Limits,2016-11
19867,ET,293,Toronto,2016-11
19868,NY,90,Outside City Limits,2016-11
19869,NY,308,Toronto,2016-11
19870,SC,124,Outside City Limits,2016-11
19871,SC,518,Toronto,2016-11
19872,ET,98,Outside City Limits,2016-12
19873,ET,338,Toronto,2016-12
19874,NY,59,Outside City Limits,2016-12
19875,NY,298,Toronto,2016-12
19876,SC,69,Outside City Limits,2016-12
19877,SC,401,Toronto,2016-12
19878,ET,208,Outside City Limits,2017-01
19879,ET,610,Toronto,2017-01
19880,NY,121,Outside City Limits,2017-01
19881,NY,381,Toronto,2017-01
19882,SC,134,Outside City Limits,2017-01
19883,SC,747,Toronto,2017-01
19884,ET,105,Outside City Limits,2017-02
19885,ET,340,Toronto,2017-02
19886,NY,92,Outside City Limits,2017-02
19887,NY,352,Toronto,2017-02
19888,SC,142,Outside City Limits,2017-02
19889,SC,524,Toronto,2017-02
19890,ET,133,Outside City Limits,2017-03
19891,ET,442,Toronto,2017-03
19892,NY,74,Outside City Limits,2017-03
19893,NY,430,Toronto,2017-03
19894,SC,95,Outside City Limits,2017-03
19895,SC,518,Toronto,2017-03
19896,ET,122,Outside City Limits,2017-04
19897,ET,370,Toronto,2017-04
19898,NY,25,Outside City Limits,2017-04
